Ticker,Company Name,Sector,Subsector,Country,Exchange,Market Cap,Enterprise Value,Book Value,Revenue Growth (YoY),EPS Growth (YoY),P/E Ratio,PEG Ratio,P/B Ratio,P/S Ratio,ROE,Net Profit Margin,Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Free Cash Flow Margin
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,United States,NMS,176965304320.0,217041240064.0,13.393,-0.018,-0.101,18.980883,,9.637125,1.9335611,0.49927,,0.834,0.615,261.849,0.08283710157165425
APLD,Applied Digital Corporation,Technology,Information Technology Services,United States,NMS,2324973056.0,3289477888.0,2.026,0.221,,,,5.0987167,10.511108,-0.79237,,0.697,0.212,199.585,-2.756698904119498
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,Denmark,NYQ,326230835200.0,404674904064.0,31.206,0.195,0.15,20.434902,,2.3639684,1.0761687,0.88115,,0.739,0.542,85.696,0.25642027043401944
OKLO,Oklo Inc.,Utilities,Utilities - Regulated Electric,United States,NYQ,8540728832.0,7867716096.0,1.935,,,,,29.948322,,-0.56027,,36.234,35.837,0.666,
RNVN,,,,,,,,,,,,,,,,,,,,
SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,Greece,NMS,1923383040.0,2920026112.0,21.002,-0.111,-0.996,8.623036,,0.784211,1.5552318,0.11092,,1.65,1.295,57.833,0.2490767045969104
TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,NYQ,224683737088.0,33014199353344.0,2753.086,0.117,-0.313,6.948811,,0.06262064,0.0046773343,0.13283,,1.26,0.827,105.19,-0.416112706687763
NFLX,"Netflix, Inc.",Communication Services,Entertainment,United States,NMS,524052398080.0,533243068416.0,56.446,0.125,0.252,58.14023,,21.815718,13.044785,0.40842,,1.204,1.01,72.513,0.5422725830018758
INTC,Intel Corporation,Technology,Semiconductors,United States,NMS,91950956544.0,127710961664.0,22.869,-0.004,,,,0.9217718,1.7334846,-0.18127,,1.31,0.749,47.129,-0.13198005898752876
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,United States,NYQ,51956031488.0,86950002688.0,53.061,-0.041,,23.294764,,3.187275,0.3765776,0.15524,,1.194,0.701,139.332,0.019263386450403094
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,United States,NYQ,273965350912.0,331076468736.0,104.437,0.098,,12.641692,,2.8917913,0.66811526,0.22700001,,0.849,0.769,77.277,0.049008733016050014
JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,NMS,46404186112.0,58259521536.0,162.554,0.158,0.582,7.668293,,0.19341265,0.038674925,0.16283001,,1.257,0.806,28.325,0.0059261476107159775
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,NYQ,271591276544.0,1989717917696.0,437.002,0.066,2.964,15.148794,,0.25860292,0.27258703,0.114379995,,1.548,0.983,22.782,0.012963605400798222
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,Ireland,NMS,143682781184.0,210269339648.0,236.863,0.102,-0.475,10.859443,,0.4272934,0.35680193,0.36169997,,2.273,1.915,3.413,0.2572737385726932
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,Switzerland,NYQ,113740300288.0,133495971840.0,164.008,0.033,-0.371,13.678073,,1.7305254,2.0200028,0.12855,,0.385,0.177,29.874,0.21164998378534797
SOFI,"SoFi Technologies, Inc.",Financial Services,Credit Services,United States,NMS,16801471488.0,17989251072.0,6.049,0.201,1.79,35.348835,,2.5128121,6.062416,0.07513,,1.142,0.467,49.144,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,United States,NYQ,494315732992.0,521916579840.0,60.961,0.006,-0.144,15.212201,,1.8815308,1.4492322,0.14302,,1.236,0.858,13.918,0.06391605774902538
HUM,Humana Inc.,Healthcare,Healthcare Plans,United States,NYQ,28920455168.0,20584570880.0,147.075,0.084,0.686,16.922316,,1.6292368,0.24047874,0.10099,,1.908,1.474,77.075,-0.017404707894937612
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,United States,NYQ,764249702400.0,381873979392.0,119.238,0.048,0.142,13.493622,,2.3063118,4.529854,0.17352,,,,,
FSLR,"First Solar, Inc.",Technology,Solar,United States,NMS,15550380032.0,15290081280.0,76.343,0.064,-0.114,12.319456,,1.8993227,3.6531117,0.16766001,,1.929,1.194,7.7,-0.19281662066574026
FI,"Fiserv, Inc.",Technology,Information Technology Services,United States,NYQ,90583425024.0,118458400768.0,46.554,0.051,0.218,28.916815,,3.5094728,4.3753767,0.116780005,,1.099,0.236,107.142,0.19674081083308181
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,United States,NYQ,51450941440.0,84105977856.0,34.203,0.682,-0.046,16.08789,,2.4082685,2.0613358,0.16409001,,0.666,0.452,144.846,0.07043269230769231
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,NYQ,7411118592.0,41931116544.0,4.871,-0.052,-0.892,5.6576085,,2.1371381,0.6115289,0.05583,,0.843,0.378,361.561,-0.4754724160054266
TGT,Target Corporation,Consumer Defensive,Discount Stores,United States,NYQ,43410128896.0,59986116608.0,32.896,-0.028,0.118,10.4989,,2.9043045,0.40998977,0.29076,,0.935,0.152,130.213,0.02795827444518642
C,Citigroup Inc.,Financial Services,Banks - Diversified,United States,NYQ,146523422720.0,-3451292928.0,103.9,0.025,0.246,12.393365,,0.7550529,2.0401762,0.06435,,,,,
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,United States,NYQ,84617175040.0,81085030400.0,188.365,0.148,0.002,14.578434,,1.9882673,0.46207583,0.14175001,,1.431,1.303,70.397,0.04061591997120516
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,United States,NYQ,342700523520.0,330647371776.0,36.386,0.057,0.184,13.58209,,1.2504809,3.5165725,0.094560005,,,,,
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,United States,NYQ,15196147712.0,13583921152.0,16.731,0.065,0.204,16.064772,,6.077939,3.0480006,0.41818002,,3.715,2.934,11.022,0.15647861627643908
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,NYQ,48596905984.0,44644892672.0,56.795,0.036,-0.384,17.358845,,8.9858265,2.6875846,0.58108,,2.91,2.082,74.235,0.18396747766647162
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,United States,NYQ,88249442304.0,89771474944.0,9.483,-0.093,-0.302,19.863789,,6.304967,1.8455278,0.31934,,2.193,1.326,85.065,0.10618647807717385
BRK.B,,,,,,,,,,,,,,,,,,,,
EIX,Edison International,Utilities,Utilities - Regulated Electric,United States,NYQ,19103533056.0,61165514752.0,38.925,-0.065,,7.0226307,,1.27553,1.1022116,0.15001,,0.956,0.513,210.459,-0.0655507157660426
TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,Bermuda,NYQ,1566594816.0,922462336.0,52.979,-0.371,-0.491,4.771008,,0.8573208,1.433706,0.18961,,8.05,7.12,2.961,0.21935450135902526
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,NMS,166149373952.0,166926352384.0,25.207,0.169,0.22,15.4250765,,6.0030947,3.9291818,0.42205003,,2.733,1.838,52.737,0.19682342283263898
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,United States,NYQ,16813663232.0,18654279680.0,50.387,0.082,0.387,19.525602,,3.708496,1.9677072,0.20211,,3.277,1.992,62.289,0.04542090202553026
